timestamp,device_id,N,P,K,temperature,humidity,ph,rainfall,soil_moisture
2026-01-03T10:57:05.241198,device-01,123,126,164,37.9,45.3,8.2,215.4,24.1
2026-01-03T10:57:08.241705,device-01,64,102,72,37.7,84.8,5.8,154.0,28.0
2026-01-03T10:57:11.242836,device-01,80,107,89,19.9,44.0,8.4,87.5,14.9
2026-01-03T10:57:14.244014,device-01,55,63,178,23.9,45.1,5.2,231.8,60.0
2026-01-03T10:57:17.244731,device-01,131,52,94,31.2,32.2,6.1,45.5,56.5
2026-01-03T10:57:20.245654,device-01,26,73,45,37.2,45.6,5.1,12.4,35.5
2026-01-03T10:57:23.246698,device-01,25,74,178,27.6,41.4,4.6,206.3,35.7
2026-01-03T10:57:26.247805,device-01,91,51,99,21.9,74.0,5.9,184.2,30.5
2026-01-03T10:57:29.249190,device-01,119,53,34,30.4,49.8,7.9,211.5,50.7
2026-01-03T10:57:32.250700,device-01,129,102,76,18.8,77.2,7.4,10.8,27.1
2026-01-03T10:57:35.251648,device-01,81,64,155,27.8,83.2,4.6,128.2,24.8
2026-01-03T10:57:38.252759,device-01,23,56,156,20.1,80.1,4.9,61.3,27.8
2026-01-03T10:57:41.253829,device-01,121,14,133,20.4,69.8,8.0,181.0,33.1
2026-01-03T10:57:44.254604,device-01,14,88,84,18.2,33.1,6.4,57.0,25.2
2026-01-03T10:57:47.255687,device-01,103,85,103,18.9,78.7,5.6,180.1,56.7
2026-01-03T10:57:50.256753,device-01,50,103,81,33.9,35.4,4.6,25.1,29.3
2026-01-03T10:57:53.257967,device-01,85,90,76,28.6,52.9,4.6,115.2,36.8
2026-01-03T10:57:56.259016,device-01,62,66,54,36.5,55.8,5.4,85.2,49.4
2026-01-03T10:57:59.259943,device-01,132,29,182,19.8,47.9,7.4,87.0,59.0
2026-01-03T10:58:02.260966,device-01,96,132,175,33.2,84.7,7.1,89.6,59.6
2026-01-03T10:58:05.262117,device-01,68,103,44,35.7,72.7,7.4,67.4,52.9
2026-01-03T10:58:08.263107,device-01,58,77,57,33.4,32.0,7.3,247.5,42.9
2026-01-03T10:58:11.264793,device-01,35,12,89,39.6,72.2,7.7,242.0,12.8
2026-01-03T10:58:14.265717,device-01,136,135,112,19.5,41.1,6.0,19.9,49.4
2026-01-03T10:58:17.266802,device-01,9,103,195,24.2,33.4,7.2,216.2,10.7
